rank,compound,n_reversing_sigs,median_z_sum,best_z_sum,best_p,method
71,Olanzapine,2,-0.7603839614238667,-1.489740472562957,0.03237870891142551,local_gmt_fallback
72,Aldosterone,2,-0.7559376774048693,-1.469278007546671,0.033940793578578786,local_gmt_fallback
73,"2,2',4,4',5,5'",2,-0.7355758176217972,-1.469278007546671,0.033940793578578786,local_gmt_fallback
74,Aplidin,2,-0.7638887211269062,-1.4188733916511702,0.038117693037279264,local_gmt_fallback
75,Bortezomib,2,-0.6660996665901273,-1.3298582739206075,0.04678878051781073,local_gmt_fallback
76,Cobalt,2,-0.659878077277034,-1.3035591499972556,0.049709666559158414,local_gmt_fallback
77,Valproic,2,-0.6943170381813955,-1.3030061909080155,0.049772998974131635,local_gmt_fallback
78,N,4,-0.6999811024614615,-1.2949047251912982,0.05071019432627362,local_gmt_fallback
79,1,10,-0.19455058745437476,-1.2948749918756062,0.05071366624197768,local_gmt_fallback
80,Cediranib,2,-0.6572051627154843,-1.2867915934058407,0.051666424348742156,local_gmt_fallback
81,Permethrin,2,-0.6462306838816448,-1.2834073638143026,0.05207060649665358,local_gmt_fallback
82,Estradiol,1,-1.2787556847398216,-1.2787556847398216,0.05263132641656025,local_gmt_fallback
83,Letrozole,2,-0.6601431921679773,-1.260835977881857,0.054848407446764176,local_gmt_fallback
84,Cycloheximide,2,-0.6036302173211511,-1.2009421081921352,0.06295901021367918,local_gmt_fallback
85,Mercury,2,-0.616405389042732,-1.2009421081921352,0.06295901021367918,local_gmt_fallback
86,Insulin,4,-0.027353728573617293,-1.1914764061370229,0.06434630213792823,local_gmt_fallback
87,Acrylamide,1,-1.1523524408064807,-1.1523524408064807,0.07041214249446505,local_gmt_fallback
88,Mk,1,-1.1513918446861084,-1.1513918446861084,0.07056805626082072,local_gmt_fallback
89,Fenretinide,2,-0.5517817591807871,-1.091089779070829,0.08107934301074723,local_gmt_fallback
90,Cocaine,2,-0.8246154555537863,-1.0717053953324525,0.08478023277939642,local_gmt_fallback
91,Diethylstilbestrol,2,-0.5178813925611093,-1.0311198361449478,0.09308509875955652,local_gmt_fallback
92,R1881,2,-0.514480966538289,-1.0264548743576773,0.09409035901391372,local_gmt_fallback
93,Methamphetamine,2,-0.5901715795086171,-1.0095906306789315,0.09781588065599225,local_gmt_fallback
94,Interferon,4,-0.04043820144474368,-0.9940683794877245,0.10137517583725714,local_gmt_fallback
95,Dexamethasone,2,-0.5072704556477057,-0.9787771718108486,0.10500810669618783,local_gmt_fallback
96,Gefitinib,2,-0.49183570397418486,-0.9783027348877656,0.10512288352928902,local_gmt_fallback
97,Glipizide,2,-0.7828747385776177,-0.9702459331234793,0.1070912694974836,local_gmt_fallback
98,Pbde,4,-0.20828068745594472,-0.9277985117792811,0.11808683651093155,local_gmt_fallback
99,Caerulein,2,-0.5124328924848114,-0.9270224620988391,0.11829803693406503,local_gmt_fallback
100,Phorbol,4,-0.00821790598249638,-0.9127244159532786,0.1222575206162844,local_gmt_fallback
101,Heroin,2,-0.8237195333818219,-0.8916716275897939,0.12833005263992062,local_gmt_fallback
